date,description,transactionId,amount,category,transactionType
01 Apr 2025,two-wheeler insurance #9642,T2504061,123.86,Insurance,debit
03 Apr 2025,client meeting txn,T2504005,186.32,Business Expenses,debit
06 Apr 2025,ngo contribution online,T2504084,18.48,Charity & Donations,debit
04 Apr 2025,online gaming #8614,T2504052,49.93,Entertainment,debit
03 Apr 2025,registration fee #7456,T2504066,109.97,Legal & Government,debit
02 Apr 2025,unidentified payment,T2504066,155.10,Miscellaneous,debit
01 Apr 2025,online payment txn,T2504078,56.69,Online Services,debit
01 Apr 2025,water bill online,T2504065,91.15,Utilities,debit
06 Apr 2025,lemon tree #2773,T2504078,176.51,Miscellaneous,debit
09 Apr 2025,red bus bill,T2504091,948.77,Travel,debit
10 Apr 2025,mart,T2504053,162.35,Grocery & Convenience,debit
09 Apr 2025,dth recharge,T2504007,37.05,Utilities,debit
01 Apr 2025,vet visit payment,T2504010,141.31,Pets,debit
09 Apr 2025,library fee txn,T2504078,35.10,Education,debit
01 Apr 2025,vet visit,T2504092,79.11,Pets,debit
10 Apr 2025,goibibo online,T2504045,1525.90,Travel,debit
07 Apr 2025,misc payment bill,T2504031,133.81,Miscellaneous,debit
05 Apr 2025,meesho,T2504090,19.54,Online Shopping,debit
04 Apr 2025,general store txn,T2504065,29.04,Grocery & Convenience,debit
09 Apr 2025,flight booking payment,T2504022,1888.93,Travel,debit
05 Apr 2025,fundraiser,T2504081,182.19,Charity & Donations,debit
04 Apr 2025,rent payment payment,T2504053,529.64,Housing,debit
03 Apr 2025,pet supplies,T2504064,134.14,Pets,debit
01 Apr 2025,gym fee txn,T2504088,69.89,Health & Fitness,debit
06 Apr 2025,sri maha ladies hostel online,T2504040,784.85,Housing,debit
03 Apr 2025,chennai metro rail ltd online,T2504095,25.02,Transport,debit
10 Apr 2025,bank charge online,T2504100,31.04,Financial Services,debit
07 Apr 2025,shunayna devi w/o aditya kumar thak,T2504007,988.87,P2P Transfer,debit
08 Apr 2025,retail #5703,T2504081,177.46,Shopping,debit
03 Apr 2025,local transport online,T2504034,154.87,Transport,debit
05 Apr 2025,gym fee #2366,T2504092,26.04,Health & Fitness,debit
01 Apr 2025,bus booking txn,T2504012,1458.45,Travel,debit
07 Apr 2025,spa service txn,T2504066,54.12,Personal Care,debit
07 Apr 2025,vet visit txn,T2504028,195.03,Pets,debit
09 Apr 2025,beema store payment,T2504079,93.92,Grocery & Convenience,debit
09 Apr 2025,business service bill,T2504077,142.13,Business Expenses,debit
10 Apr 2025,mr vikash kumar,T2504099,688.77,P2P Transfer,debit
09 Apr 2025,cable tv,T2504039,133.32,Utilities,debit
04 Apr 2025,ngo contribution online,T2504028,134.57,Charity & Donations,debit
03 Apr 2025,train ticket txn,T2504088,39.04,Transport,debit
10 Apr 2025,client meeting txn,T2504011,100.87,Business Expenses,debit
01 Apr 2025,sadif chembayil,T2504058,1227.89,P2P Transfer,debit
06 Apr 2025,music streaming,T2504048,138.89,Entertainment,debit
08 Apr 2025,vehicle insurance payment,T2504043,110.53,Insurance,debit
04 Apr 2025,license fee payment,T2504023,79.38,Legal & Government,debit
08 Apr 2025,movie ticket payment,T2504002,107.88,Entertainment,debit
05 Apr 2025,payu txn,T2504029,175.67,Online Services,debit
04 Apr 2025,event ticket payment,T2504021,140.61,Entertainment,debit
06 Apr 2025,vehicle insurance bill,T2504092,148.80,Insurance,debit
07 Apr 2025,landlord payment online,T2504094,862.68,Housing,debit
04 Apr 2025,coaching class online,T2504037,142.74,Education,debit
05 Apr 2025,government service payment,T2504094,137.20,Legal & Government,debit
01 Apr 2025,cable tv,T2504042,89.33,Utilities,debit
10 Apr 2025,hostel fee payment,T2504069,1429.64,Housing,debit
03 Apr 2025,road tax #7333,T2504097,169.30,Legal & Government,debit
06 Apr 2025,religious donation txn,T2504061,31.46,Charity & Donations,debit
04 Apr 2025,course payment txn,T2504007,57.34,Education,debit
01 Apr 2025,health insurance,T2504063,17.27,Insurance,debit
01 Apr 2025,general expense #7462,T2504019,77.54,Miscellaneous,debit
09 Apr 2025,college fee payment,T2504001,192.36,Education,debit
06 Apr 2025,diginet cafe #4554,T2504082,54.31,Online Services,debit
01 Apr 2025,jeeva hotel 2 payment,T2504087,102.14,Food & Dining,debit
06 Apr 2025,hair salon,T2504017,103.45,Personal Care,debit
07 Apr 2025,uber ride online,T2504044,64.07,Transport,debit
05 Apr 2025,doctor visit bill,T2504031,151.14,Healthcare,debit
01 Apr 2025,health supplement payment,T2504030,40.60,Health & Fitness,debit
09 Apr 2025,internet bill #6684,T2504056,161.05,Utilities,debit
10 Apr 2025,thalaiva chinese cor payment,T2504000,16.21,Food & Dining,debit
08 Apr 2025,makemytrip bill,T2504091,1594.51,Travel,debit
06 Apr 2025,parking fee txn,T2504052,115.95,Transport,debit
08 Apr 2025,credit card payment online,T2504079,34.26,Financial Services,debit
01 Apr 2025,app purchase bill,T2504001,123.45,Online Services,debit
05 Apr 2025,local transport bill,T2504058,138.51,Transport,debit
02 Apr 2025,jewellery store txn,T2504070,40.80,Shopping,debit
01 Apr 2025,check payment bill,T2504013,196.40,Financial Services,debit
03 Apr 2025,educational supplies bill,T2504004,198.17,Education,debit
03 Apr 2025,video streaming bill,T2504016,119.78,Entertainment,debit
06 Apr 2025,amusement park #1729,T2504082,176.99,Entertainment,debit
01 Apr 2025,goibibo txn,T2504055,616.21,Travel,debit
05 Apr 2025,share auto bill,T2504003,56.95,Transport,debit
02 Apr 2025,atm withdrawal online,T2504032,146.23,Financial Services,debit
07 Apr 2025,internet bill txn,T2504050,167.23,Utilities,debit
07 Apr 2025,petrol pump,T2504022,84.26,Transport,debit
01 Apr 2025,credit card payment payment,T2504054,132.84,Financial Services,debit
04 Apr 2025,fitness coach,T2504086,41.66,Health & Fitness,debit
10 Apr 2025,gift shop payment,T2504074,35.10,Shopping,debit
07 Apr 2025,website payment online,T2504092,187.67,Online Services,debit
06 Apr 2025,madasamy ponraj store txn,T2504053,110.47,Grocery & Convenience,debit
01 Apr 2025,md firoj,T2504002,816.19,P2P Transfer,debit
10 Apr 2025,hair salon txn,T2504091,190.83,Personal Care,debit
05 Apr 2025,rent payment online,T2504059,676.03,Housing,debit
08 Apr 2025,sri maha ladies hostel txn,T2504022,1257.83,Housing,debit
04 Apr 2025,water bill txn,T2504083,72.88,Utilities,debit
02 Apr 2025,shadowfax technologies private limited bill,T2504013,118.23,Online Services,debit
08 Apr 2025,gym fee online,T2504012,163.05,Health & Fitness,debit
06 Apr 2025,educational supplies payment,T2504003,106.06,Education,debit
09 Apr 2025,pet supplies online,T2504093,150.13,Pets,debit
06 Apr 2025,shaving,T2504027,166.74,Personal Care,debit
10 Apr 2025,irctc ticket payment,T2504086,1057.41,Travel,debit
01 Apr 2025,fundraiser online,T2504091,78.46,Charity & Donations,debit
08 Apr 2025,subash,T2504024,824.45,P2P Transfer,debit
10 Apr 2025,client meeting txn,T2504057,63.22,Business Expenses,debit
02 Apr 2025,health insurance #3321,T2504089,65.66,Insurance,debit
10 Apr 2025,internet bill payment,T2504068,33.97,Utilities,debit
05 Apr 2025,flipkart online,T2504099,80.55,Online Shopping,debit
09 Apr 2025,credit card payment online,T2504099,129.30,Financial Services,debit
02 Apr 2025,phone recharge online,T2504079,156.19,Utilities,debit
01 Apr 2025,petrol pump #3471,T2504028,150.97,Transport,debit
05 Apr 2025,medicine purchase bill,T2504072,53.45,Healthcare,debit
04 Apr 2025,dhaba payment,T2504075,115.33,Food & Dining,debit
02 Apr 2025,retail payment,T2504052,182.87,Shopping,debit
05 Apr 2025,gym fee payment,T2504058,129.41,Health & Fitness,debit
05 Apr 2025,tea stall txn,T2504052,141.34,Food & Dining,debit
08 Apr 2025,hair salon #8552,T2504043,177.24,Personal Care,debit
05 Apr 2025,zepto marketplace private limited payment,T2504025,155.97,Grocery & Convenience,debit
09 Apr 2025,cash withdrawal txn,T2504087,80.27,Miscellaneous,debit
07 Apr 2025,general expense payment,T2504003,148.23,Miscellaneous,debit
09 Apr 2025,vet visit,T2504078,79.35,Pets,debit
07 Apr 2025,license fee online,T2504039,168.57,Legal & Government,debit
07 Apr 2025,library fee bill,T2504024,176.22,Education,debit
05 Apr 2025,video streaming payment,T2504003,153.31,Entertainment,debit
05 Apr 2025,beauty parlour payment,T2504018,140.41,Personal Care,debit
04 Apr 2025,health insurance txn,T2504068,152.68,Insurance,debit
06 Apr 2025,animal medicine online,T2504036,150.10,Pets,debit
09 Apr 2025,fine payment #4954,T2504005,84.51,Legal & Government,debit
09 Apr 2025,vehicle insurance bill,T2504016,125.31,Insurance,debit
04 Apr 2025,bus fare online,T2504099,25.10,Transport,debit
04 Apr 2025,tata cliq online,T2504040,112.21,Online Shopping,debit
04 Apr 2025,library fee,T2504065,129.61,Education,debit
03 Apr 2025,kirana shop online,T2504002,91.14,Grocery & Convenience,debit
04 Apr 2025,unidentified payment payment,T2504010,11.04,Miscellaneous,debit
07 Apr 2025,business service online,T2504051,31.35,Business Expenses,debit
02 Apr 2025,amusement park #2071,T2504004,43.00,Entertainment,debit
05 Apr 2025,rapido online,T2504019,37.17,Transport,debit
04 Apr 2025,restaurant #3188,T2504079,189.77,Food & Dining,debit
07 Apr 2025,pet shop online,T2504013,10.84,Pets,debit
02 Apr 2025,water bill txn,T2504095,150.68,Utilities,debit
03 Apr 2025,video streaming online,T2504076,174.94,Entertainment,debit
07 Apr 2025,s p cafe bill,T2504062,110.16,Food & Dining,debit
03 Apr 2025,goibibo online,T2504047,635.06,Travel,debit
03 Apr 2025,jio mart,T2504088,20.01,Online Shopping,debit
09 Apr 2025,chemist,T2504024,161.46,Healthcare,debit
06 Apr 2025,dog care,T2504026,131.06,Pets,debit
03 Apr 2025,tuition fee #4927,T2504029,42.36,Education,debit
08 Apr 2025,video streaming bill,T2504016,171.18,Entertainment,debit
06 Apr 2025,two-wheeler insurance payment,T2504065,90.17,Insurance,debit
08 Apr 2025,mess payment,T2504050,86.98,Food & Dining,debit
02 Apr 2025,health insurance payment,T2504085,88.79,Insurance,debit
05 Apr 2025,yatra bill,T2504065,1096.56,Travel,debit
05 Apr 2025,retail txn,T2504096,125.22,Shopping,debit
01 Apr 2025,footwear store online,T2504100,121.33,Shopping,debit
03 Apr 2025,pet food online,T2504088,80.97,Pets,debit
08 Apr 2025,sham ege shop payment,T2504093,146.46,Grocery & Convenience,debit
07 Apr 2025,video streaming txn,T2504057,56.67,Entertainment,debit
08 Apr 2025,penalty charge payment,T2504034,154.68,Legal & Government,debit
05 Apr 2025,fancy store,T2504067,19.41,Shopping,debit
08 Apr 2025,library fee txn,T2504044,125.96,Education,debit
07 Apr 2025,dog care payment,T2504073,94.93,Pets,debit
09 Apr 2025,water bill,T2504080,101.82,Utilities,debit
07 Apr 2025,retail payment,T2504087,102.11,Shopping,debit
05 Apr 2025,internet bill bill,T2504030,121.83,Utilities,debit
04 Apr 2025,gift shop #8336,T2504089,101.53,Shopping,debit
04 Apr 2025,educational supplies payment,T2504045,172.15,Education,debit
03 Apr 2025,yoga class payment,T2504091,195.01,Health & Fitness,debit
02 Apr 2025,online gaming #1979,T2504072,175.50,Entertainment,debit
03 Apr 2025,tax payment bill,T2504036,110.93,Legal & Government,debit
07 Apr 2025,metro fare txn,T2504099,99.54,Transport,debit
05 Apr 2025,electric bill #5896,T2504015,132.96,Utilities,debit
02 Apr 2025,dog care,T2504059,104.62,Pets,debit
10 Apr 2025,phone recharge txn,T2504052,138.72,Utilities,debit
07 Apr 2025,educational supplies bill,T2504015,85.32,Education,debit
02 Apr 2025,stomilar online,T2504000,127.80,Miscellaneous,debit
02 Apr 2025,daily needs bill,T2504084,14.47,Grocery & Convenience,debit
04 Apr 2025,pet food,T2504096,76.16,Pets,debit
02 Apr 2025,red bus,T2504088,656.41,Travel,debit
05 Apr 2025,movie ticket,T2504087,178.30,Entertainment,debit
08 Apr 2025,barber shop,T2504002,88.35,Personal Care,debit
09 Apr 2025,sri maha ladies hostel txn,T2504061,938.56,Housing,debit
05 Apr 2025,pet grooming txn,T2504014,45.98,Pets,debit
02 Apr 2025,crowd funding txn,T2504017,64.58,Charity & Donations,debit
09 Apr 2025,rent payment payment,T2504027,777.09,Housing,debit
07 Apr 2025,course payment payment,T2504066,198.36,Education,debit
08 Apr 2025,royal mens beauty center bill,T2504057,105.07,Personal Care,debit
07 Apr 2025,sri maha ladies hostel payment,T2504064,1067.13,Housing,debit
05 Apr 2025,bus booking online,T2504042,1552.69,Travel,debit
07 Apr 2025,landlord payment payment,T2504077,820.75,Housing,debit
06 Apr 2025,pet supplies #3003,T2504041,23.63,Pets,debit
10 Apr 2025,goibibo txn,T2504062,840.89,Travel,debit
03 Apr 2025,sports equipment #8522,T2504026,17.82,Health & Fitness,debit
04 Apr 2025,lab test #8410,T2504034,101.06,Healthcare,debit
04 Apr 2025,donation txn,T2504014,166.70,Charity & Donations,debit
06 Apr 2025,rtgs payment txn,T2504055,111.76,Financial Services,debit
03 Apr 2025,al shifa medical #8789,T2504016,31.26,Healthcare,debit
03 Apr 2025,advertising cost #7026,T2504015,137.50,Business Expenses,debit
05 Apr 2025,penalty charge payment,T2504048,72.64,Legal & Government,debit
07 Apr 2025,exam fee #9755,T2504066,74.80,Education,debit
03 Apr 2025,beema store 2 txn,T2504023,33.01,Grocery & Convenience,debit
04 Apr 2025,cable tv payment,T2504037,149.18,Utilities,debit
10 Apr 2025,digital service payment,T2504058,190.33,Online Services,debit
