Date,Description,Transaction_ID,Amount,Category,Type
08 Apr 2025,FARDEEN,T2504077,₹135.75,P2P Transfer,Debit
04 Apr 2025,WATER BILL,T2504019,₹185.11,Utilities,Debit
09 Apr 2025,AMUSEMENT PARK #1748,T2504039,₹29.72,Entertainment,Debit
05 Apr 2025,LIBRARY FEE,T2504059,₹25.02,Education,Debit
07 Apr 2025,PETROL PUMP PAYMENT,T2504074,₹31.57,Transport,Debit
05 Apr 2025,ELECTRIC BILL BILL,T2504043,₹62.1,Utilities,Debit
10 Apr 2025,SUBSCRIPTION SERVICE #9947,T2504099,₹173.26,Online Services,Debit
04 Apr 2025,EVENT TICKET PAYMENT,T2504089,₹40.57,Entertainment,Debit
08 Apr 2025,GENERAL EXPENSE #2159,T2504065,₹152.95,Miscellaneous,Debit
04 Apr 2025,GAS BILL #4241,T2504037,₹111.92,Utilities,Debit
03 Apr 2025,GAME ZONE ONLINE,T2504089,₹109.65,Entertainment,Debit
03 Apr 2025,GAME ZONE TXN,T2504063,₹30.41,Entertainment,Debit
04 Apr 2025,CLINIC FEE BILL,T2504012,₹163.95,Healthcare,Debit
09 Apr 2025,NAIL CARE,T2504010,₹161.36,Personal Care,Debit
08 Apr 2025,DIGINET CAFE BILL,T2504030,₹125.89,Online Services,Debit
05 Apr 2025,ANNAI MARY STORE ONLINE,T2504066,₹31.53,Grocery & Convenience,Debit
08 Apr 2025,BEAUTY PARLOUR #2203,T2504023,₹59.52,Personal Care,Debit
10 Apr 2025,UPI PAYMENT,T2504072,₹197.9,P2P Transfer,Credit
07 Apr 2025,MUSIC STREAMING PAYMENT,T2504011,₹57.72,Entertainment,Debit
10 Apr 2025,CASH DEPOSIT ONLINE,T2504011,₹182.77,Miscellaneous,Debit
01 Apr 2025,SHOPPING PAYMENT,T2504058,₹136.32,Shopping,Debit
07 Apr 2025,MRS SUNEENA DEVI,T2504024,₹292.19,P2P Transfer,Credit
05 Apr 2025,FOOD DELIVERY BILL,T2504034,₹78.43,Food & Dining,Debit
02 Apr 2025,MOVIE TICKET TXN,T2504010,₹14.72,Entertainment,Debit
05 Apr 2025,MISC PAYMENT ONLINE,T2504064,₹58.08,Miscellaneous,Debit
05 Apr 2025,CONVENIENCE STORE BILL,T2504084,₹185.63,Grocery & Convenience,Debit
09 Apr 2025,RAPIDO ONLINE,T2504015,₹97.38,Transport,Debit
10 Apr 2025,ROOM RENT PAYMENT,T2504015,₹540.5,Housing,Debit
02 Apr 2025,GENERAL EXPENSE #8084,T2504094,₹190.37,Miscellaneous,Debit
07 Apr 2025,GENERAL EXPENSE,T2504004,₹25.62,Miscellaneous,Debit
09 Apr 2025,RENT PAYMENT PAYMENT,T2504041,₹1135.14,Housing,Debit
08 Apr 2025,HOTEL AKSHAYA IN,T2504075,₹11.86,Food & Dining,Debit
10 Apr 2025,EVENT TICKET BILL,T2504001,₹27.16,Entertainment,Debit
04 Apr 2025,DAILY NEEDS,T2504050,₹104.85,Grocery & Convenience,Debit
10 Apr 2025,BEEMA STORE 2,T2504052,₹191.31,Grocery & Convenience,Debit
07 Apr 2025,COURSE PAYMENT,T2504035,₹142.69,Education,Debit
09 Apr 2025,PRASANNA D,T2504073,₹1274.88,P2P Transfer,Credit
06 Apr 2025,SADIF CHEMBAYIL,T2504035,₹1144.12,P2P Transfer,Debit
06 Apr 2025,MOBILE BILL #6980,T2504048,₹147.55,Utilities,Debit
04 Apr 2025,ANBURAJT,T2504038,₹273.75,P2P Transfer,Debit
06 Apr 2025,CODEXINTERN PAYMENT,T2504090,₹84.12,Online Services,Debit
09 Apr 2025,CHENNAI METRO RAIL LTD ONLINE,T2504091,₹33.84,Transport,Debit
07 Apr 2025,MART #5188,T2504050,₹19.48,Grocery & Convenience,Debit
05 Apr 2025,UBER RIDE PAYMENT,T2504031,₹179.57,Transport,Debit
03 Apr 2025,K LAKSHMI PRIYA,T2504096,₹579.57,P2P Transfer,Credit
07 Apr 2025,EVENT TICKET PAYMENT,T2504013,₹41.12,Entertainment,Debit
06 Apr 2025,SRI MAHA LADIES HOSTEL PAYMENT,T2504072,₹1955.95,Housing,Debit
